測定日時,ロットid,工程,工程詳細,ジャケット温度,内容物温度,ジャケット圧,外気温,湿度
2025/1/6 7:05,KMC2025010601A200,煮込み,放熱OFF,81.2,85,0.009,5.1,40.5
2025/1/6 7:06,KMC2025010601A200,煮込み,放熱OFF,82.6,85,0.012,4.9,39.6
2025/1/6 7:07,KMC2025010601A200,煮込み,加熱ON,93,84.8,0.081,4.9,39.8
2025/1/6 7:08,KMC2025010601A200,煮込み,放熱OFF,81.5,84.7,0.041,4.5,39.4
2025/1/6 7:09,KMC2025010601A200,煮込み,加熱ON,94.6,84.7,0.119,5.2,39.6
2025/1/6 7:10,KMC2025010601A200,煮込み,加熱ON,93.4,84.3,0.174,4.7,40.4
2025/1/6 7:11,KMC2025010601A200,煮込み,放熱OFF,82.2,84.7,0.097,4.6,39.3
2025/1/6 7:12,KMC2025010601A200,煮込み,放熱OFF,81.8,85,0.054,4.9,39.4
2025/1/6 7:13,KMC2025010601A200,煮込み,放熱OFF,82.3,84.9,0.039,5.2,39.4
2025/1/6 7:14,KMC2025010601A200,煮込み,放熱OFF,83,85,0.029,4.6,40.8
2025/1/6 7:15,KMC2025010601A200,煮込み,放熱OFF,83,85,0.009,5.6,40.4
2025/1/6 7:16,KMC2025010601A200,煮込み,放熱OFF,82,85.1,0.007,4.4,41
2025/1/6 7:17,KMC2025010601A200,煮込み,加熱ON,93,84.9,0.094,5,39.8
2025/1/6 7:18,KMC2025010601A200,煮込み,放熱OFF,81.5,84.7,0.061,5.1,39.5
2025/1/6 7:19,KMC2025010601A200,煮込み,放熱OFF,82,84.9,0.036,4.7,40.3
2025/1/6 7:20,KMC2025010601A200,煮込み,加熱ON,94,84.7,0.1,4.3,39.6
2025/1/6 7:21,KMC2025010601A200,煮込み,放熱OFF,82.6,84.5,0.066,5.4,39.4
2025/1/6 7:22,KMC2025010601A200,煮込み,放熱OFF,82.5,85,0.039,5.1,39.7
2025/1/6 7:23,KMC2025010601A200,煮込み,放熱OFF,82.3,85,0.02,5.8,39.1
2025/1/6 7:24,KMC2025010601A200,煮込み,放熱OFF,81.8,85.1,0.014,5.9,40
2025/1/6 7:25,KMC2025010601A200,煮込み,放熱OFF,81.2,85,0.002,3.7,39.7
2025/1/6 7:26,KMC2025010601A200,煮込み,加熱ON,93.9,84.7,0.087,4.9,40.4
2025/1/6 7:27,KMC2025010601A200,煮込み,放熱OFF,82.5,84.4,0.053,5.6,40.3
2025/1/6 7:28,KMC2025010601A200,煮込み,加熱ON,93.4,84.8,0.13,5,40.9
2025/1/6 7:29,KMC2025010601A200,煮込み,放熱OFF,81.6,84.7,0.078,5.5,40.6
2025/1/6 7:30,KMC2025010601A200,煮込み,放熱OFF,82.7,85.1,0.05,4.3,39.2
2025/1/6 7:31,KMC2025010601A200,煮込み,放熱OFF,81.8,85,0.029,4.8,40.2
2025/1/6 7:32,KMC2025010601A200,煮込み,放熱OFF,82.9,85.1,0.021,3.9,39.6
2025/1/6 7:33,KMC2025010601A200,煮込み,放熱OFF,82.7,85.2,0.018,5.4,40.9
2025/1/6 7:34,KMC2025010601A200,煮込み,放熱OFF,82.7,85.2,0.015,3.6,39.2
2025/1/6 7:35,KMC2025010601A200,煮込み,放熱OFF,81.8,84.9,0.005,4,39.6
2025/1/6 7:36,KMC2025010601A200,煮込み,加熱ON,94.3,84.8,0.082,4.4,40
2025/1/6 7:37,KMC2025010601A200,煮込み,加熱ON,93.3,84.4,0.151,4.7,40.4
2025/1/6 7:38,KMC2025010601A200,煮込み,放熱OFF,82.6,84.7,0.096,5,39.4
2025/1/6 7:39,KMC2025010601A200,煮込み,放熱OFF,81.5,85.1,0.061,5.5,40.3
2025/1/6 7:40,KMC2025010601A200,煮込み,放熱OFF,82.6,85.1,0.038,6.8,40.7
2025/1/6 7:41,KMC2025010601A200,煮込み,放熱OFF,81.5,85.1,0.016,5.4,39.7
2025/1/6 7:42,KMC2025010601A200,煮込み,放熱OFF,80.9,85.1,0.011,3.7,40.9
2025/1/6 7:43,KMC2025010601A200,煮込み,加熱ON,93.3,84.9,0.087,4.9,39.6
2025/1/6 7:44,KMC2025010601A200,煮込み,放熱OFF,80.5,84.6,0.049,3.7,40.9
2025/1/6 7:45,KMC2025010601A200,煮込み,加熱ON,94,84.7,0.112,5.4,40.5
2025/1/6 7:46,KMC2025010601A200,煮込み,加熱ON,93.2,84.4,0.165,5.5,40.2
2025/1/6 7:47,KMC2025010601A200,煮込み,放熱OFF,82.1,84.7,0.089,5.6,39
2025/1/6 7:48,KMC2025010601A200,煮込み,放熱OFF,83.2,85.1,0.061,4.6,40.6
2025/1/6 7:49,KMC2025010601A200,煮込み,放熱OFF,81.5,85.1,0.039,6.1,40.2
2025/1/6 7:50,KMC2025010601A200,煮込み,放熱OFF,82.4,85.2,0.022,3.6,39.2
2025/1/6 7:51,KMC2025010601A200,煮込み,放熱OFF,82.3,85.2,0.013,5.3,40.6
2025/1/6 7:52,KMC2025010601A200,冷却,,9.2,85.2,0.047,5,40.1
2025/1/6 7:53,KMC2025010601A200,冷却,,9.2,85,0.068,5.2,40.2
2025/1/6 7:54,KMC2025010601A200,冷却,,9.2,81.6,0.092,5.2,39.8
2025/1/6 7:55,KMC2025010601A200,冷却,,9.2,78.3,0.109,5.2,40.1
2025/1/6 7:56,KMC2025010601A200,冷却,,9.2,75.2,0.119,5,40.5
2025/1/6 7:57,KMC2025010601A200,冷却,,9.2,72.3,0.119,4.7,40
2025/1/6 7:58,KMC2025010601A200,冷却,,9.2,69.5,0.123,4.5,40.9
2025/1/6 7:59,KMC2025010601A200,冷却,,9.2,66.9,0.139,4.4,40.7
2025/1/6 8:00,KMC2025010601A200,冷却,,9.2,64.2,0.141,4.6,40.3
2025/1/6 8:01,KMC2025010601A200,冷却,,9.2,61.7,0.14,5.3,40.5
2025/1/6 8:02,KMC2025010601A200,冷却,,9.2,59.4,0.153,5.6,39.2
2025/1/6 8:03,KMC2025010601A200,冷却,,9.2,57.4,0.157,5.1,39.1
2025/1/6 8:04,KMC2025010601A200,冷却,,9.2,55.2,0.161,5.6,39.3
2025/1/6 8:05,KMC2025010601A200,冷却,,9.2,53.1,0.156,5.4,39.4
2025/1/6 8:06,KMC2025010601A200,冷却,,9.2,51.1,0.154,4.7,40.4
2025/1/6 8:07,KMC2025010601A200,冷却,,9.2,49.4,0.148,5.4,39.5
2025/1/6 8:08,KMC2025010601A200,冷却,,9.2,47.7,0.148,5.1,39.4
2025/1/6 8:09,KMC2025010601A200,冷却,,9.2,46.2,0.147,4.7,40.3
2025/1/6 8:10,KMC2025010601A200,冷却,,9.2,44.4,0.156,4.9,40.5
2025/1/6 8:11,KMC2025010601A200,冷却,,9.2,42.8,0.169,5.4,40.9
2025/1/6 8:12,KMC2025010601A200,冷却,,9.2,41.5,0.168,5.7,40.5
2025/1/6 8:13,KMC2025010601A200,冷却,,9.2,40,0.169,4.8,39
2025/1/6 8:14,KMC2025010601A200,冷却,,9.2,38.6,0.172,5.8,40.7
2025/1/6 8:15,KMC2025010601A200,冷却,,9.2,37.3,0.183,5.8,40.4
2025/1/6 8:16,KMC2025010601A200,冷却,,9.2,36,0.184,4.8,40.4
2025/1/6 8:17,KMC2025010601A200,冷却,,9.2,34.7,0.186,5.2,40.6
2025/1/6 8:18,KMC2025010601A200,冷却,,9.2,33.5,0.187,6,39.2
2025/1/6 8:19,KMC2025010601A200,冷却,,9.2,32.5,0.187,6.3,39
2025/1/6 8:20,KMC2025010601A200,冷却,,9.2,31.6,0.187,4.7,40.7
2025/1/6 8:21,KMC2025010601A200,冷却,,9.2,30.5,0.177,4.6,39.9
2025/1/6 8:22,KMC2025010601A200,冷却,,9.2,29.7,0.18,6.5,39.8
2025/1/6 8:23,KMC2025010601A200,冷却,,9.2,28.8,0.173,3.6,39.9
2025/1/6 8:24,KMC2025010601A200,冷却,,9.2,27.9,0.182,4.5,39.4
2025/1/6 8:25,KMC2025010601A200,冷却,,9.2,27.1,0.18,5.6,39.8
2025/1/6 8:26,KMC2025010601A200,冷却,,9.2,26.4,0.17,4.4,39.4
2025/1/6 8:27,KMC2025010601A200,冷却,,9.2,25.8,0.175,6.4,40.1
2025/1/6 8:28,KMC2025010601A200,冷却,,9.2,25.2,0.177,6.7,40.6
2025/1/6 8:29,KMC2025010601A200,冷却,,9.2,24.6,0.172,6.6,40
2025/1/6 8:30,KMC2025010601A200,冷却,,9.2,24.1,0.164,5.4,40.5
2025/1/6 8:31,KMC2025010601A200,冷却,,9.2,23.5,0.175,6.8,39.2
2025/1/6 8:32,KMC2025010601A200,充填移送,攪拌待機中,9.1,22.8,0,5,40.7
2025/1/6 8:33,KMC2025010601A200,充填移送,攪拌待機中,8.9,22.2,0,5.2,39.3
2025/1/6 8:34,KMC2025010601A200,充填移送,攪拌待機中,9,22.4,0,5.2,40.2
2025/1/6 8:35,KMC2025010601A200,充填移送,攪拌待機中,8.8,22.7,0,5.2,40.3
2025/1/6 8:36,KMC2025010601A200,充填移送,攪拌待機中,8.9,23.1,0,4.9,39
2025/1/6 8:37,KMC2025010601A200,充填移送,攪拌待機中,9.1,23.2,0,5.2,40
2025/1/6 8:38,KMC2025010601A200,充填移送,攪拌待機中,9,23.5,0,4.9,40.4
2025/1/6 8:39,KMC2025010601A200,充填移送,攪拌待機中,9.1,23.7,0,4.4,40.7
2025/1/6 8:40,KMC2025010601A200,充填移送,攪拌待機中,9.3,24.1,0,5,39.5
2025/1/6 8:41,KMC2025010601A200,充填移送,攪拌待機中,9.3,24.5,0,5.1,40.1
2025/1/6 8:42,KMC2025010601A200,充填移送,攪拌待機中,9.2,24.7,0,5.4,40.5
2025/1/6 8:43,KMC2025010601A200,充填移送,攪拌待機中,9.2,25,0,5.7,40.4
2025/1/6 8:44,KMC2025010601A200,充填移送,攪拌待機中,9,25.1,0,5.2,39.9
2025/1/6 8:45,KMC2025010601A200,充填移送,攪拌待機中,8.9,25.4,0,5,40.5
2025/1/6 8:46,KMC2025010601A200,充填移送,攪拌待機中,9,25.7,0,5.6,39
2025/1/6 8:47,KMC2025010601A200,充填移送,攪拌待機中,8.9,25.9,0,4.4,39.8
2025/1/6 8:48,KMC2025010601A200,充填移送,攪拌待機中,9.1,26.2,0,4,39.2
2025/1/6 8:49,KMC2025010601A200,充填移送,攪拌待機中,9.2,26.3,0,3.8,39.6
2025/1/6 8:50,KMC2025010601A200,充填移送,攪拌待機中,9.2,26.3,0,4.9,40.2
2025/1/6 8:51,KMC2025010601A200,充填移送,攪拌待機中,9.1,26.6,0,5.7,39.1
2025/1/6 8:52,KMC2025010601A200,充填移送,攪拌待機中,8.9,26.8,0,5.1,39.5
2025/1/6 8:53,KMC2025010601A200,充填移送,攪拌待機中,8.8,27,0,4.6,40.3
2025/1/6 8:54,KMC2025010601A200,充填移送,攪拌待機中,8.8,27.3,0,5,40.2
2025/1/6 8:55,KMC2025010601A200,充填移送,攪拌待機中,8.8,27.6,0,5.1,39.7
2025/1/6 8:56,KMC2025010601A200,充填移送,攪拌待機中,8.8,27.7,0,4.9,39.9
2025/1/6 8:57,KMC2025010601A200,充填移送,攪拌待機中,8.8,27.9,0,5.8,39.5
2025/1/6 8:58,KMC2025010601A200,充填移送,攪拌待機中,9,28.2,0,6.3,39.7
2025/1/6 8:59,KMC2025010601A200,充填移送,攪拌待機中,8.9,28.3,0,5.8,39.6
2025/1/6 9:00,KMC2025010601A200,充填移送,攪拌待機中,8.9,28.5,0,6.5,39.4
2025/1/6 9:01,KMC2025010601A200,充填移送,攪拌待機中,9,28.5,0,4.6,39.2
2025/1/6 9:02,KMC2025010601A200,洗浄,荒洗い,10.4,28.6,0,5,39.4
2025/1/6 9:03,KMC2025010601A200,洗浄,荒洗い,10.5,28.7,0,5.2,40.6
2025/1/6 9:04,KMC2025010601A200,洗浄,荒洗い,10.5,5.5,0,5.3,40.5
2025/1/6 9:05,KMC2025010601A200,洗浄,荒洗い,10.8,5.1,0,5.4,39.7
2025/1/6 9:06,KMC2025010601A200,洗浄,荒洗い,10.2,5.9,0,5.1,40.7
2025/1/6 9:07,KMC2025010601A200,洗浄,昇温,37.6,6.2,0,5,39.4
2025/1/6 9:08,KMC2025010601A200,洗浄,昇温,58.3,5.1,0.088,4.6,40.5
2025/1/6 9:09,KMC2025010601A200,洗浄,昇温,73.8,8.5,0.157,4.8,39.7
2025/1/6 9:10,KMC2025010601A200,洗浄,昇温,85.5,13.4,0.211,4.7,40.2
2025/1/6 9:11,KMC2025010601A200,洗浄,昇温,94.2,19.5,0.253,4.9,39.8
2025/1/6 9:12,KMC2025010601A200,洗浄,昇温,100.6,26,0.285,5.4,39.8
2025/1/6 9:13,KMC2025010601A200,洗浄,昇温,105.3,32.6,0.311,5.4,40.3
2025/1/6 9:14,KMC2025010601A200,洗浄,昇温,108.9,39.4,0.33,5,40.8
2025/1/6 9:15,KMC2025010601A200,洗浄,昇温,111.6,46.1,0.346,5.3,39.6
2025/1/6 9:16,KMC2025010601A200,洗浄,昇温,113.7,52.3,0.358,5.1,39.1
2025/1/6 9:17,KMC2025010601A200,洗浄,高温保持,100,58,0.3,4.3,39.9
2025/1/6 9:18,KMC2025010601A200,洗浄,高温保持,100.3,63.4,0.3,5,40.7
2025/1/6 9:19,KMC2025010601A200,洗浄,高温保持,100.4,95,0.3,5,40.6
2025/1/6 9:20,KMC2025010601A200,洗浄,高温保持,100.3,95.2,0.3,5.5,40.8
2025/1/6 9:21,KMC2025010601A200,洗浄,高温保持,100.1,95.4,0.3,4.7,40.2
2025/1/6 9:22,KMC2025010601A200,洗浄,高温保持,99.9,95.4,0.3,4.9,40.4
2025/1/6 9:23,KMC2025010601A200,洗浄,高温保持,99.7,95.3,0.3,5.1,40.1
2025/1/6 9:24,KMC2025010601A200,洗浄,高温保持,99.6,95.3,0.3,5.6,39
2025/1/6 9:25,KMC2025010601A200,洗浄,高温保持,99.7,95.2,0.3,4.9,40.3
2025/1/6 9:26,KMC2025010601A200,洗浄,高温保持,100,95.3,0.3,4.6,40.6
2025/1/6 9:27,KMC2025010601A200,洗浄,冷却,6.4,95.3,0.15,4.4,40.5
2025/1/6 9:28,KMC2025010601A200,洗浄,冷却,6,95.2,0.15,4,39.3
2025/1/6 9:29,KMC2025010601A200,洗浄,冷却,6.2,91.1,0.15,4.2,39.9
2025/1/6 9:30,KMC2025010601A200,洗浄,冷却,7.3,87.1,0.15,5.3,40.4
2025/1/6 9:31,KMC2025010601A200,洗浄,冷却,6.7,83.2,0.15,4.7,40.9
2025/1/6 9:32,KMC2025010601A200,洗浄,冷却,7.8,79.7,0.15,5.8,40.6
2025/1/6 9:33,KMC2025010601A200,洗浄,冷却,6.5,76.3,0.15,4.5,40.1
2025/1/6 9:34,KMC2025010601A200,洗浄,冷却,7.5,73.2,0.15,5.5,39.8
2025/1/6 9:35,KMC2025010601A200,洗浄,冷却,6,70.4,0.15,4,40.5
2025/1/6 9:36,KMC2025010601A200,洗浄,冷却,6.7,67.5,0.15,4.7,40
2025/1/6 9:37,KMC2025010601A200,洗浄,冷却,6.2,65,0.15,4.2,40.5
2025/1/6 9:38,KMC2025010601A200,洗浄,冷却,8.1,62.6,0.15,6.1,39.4
2025/1/6 9:39,KMC2025010601A200,洗浄,冷却,6.1,60.2,0.15,4.1,39.7
2025/1/6 9:40,KMC2025010601A200,洗浄,冷却,7.4,58.1,0.15,5.4,39.1
2025/1/6 9:41,KMC2025010601A200,洗浄,冷却,6.5,56.2,0.15,4.5,40.2
2025/1/6 9:42,KMC2025010601A200,洗浄,冷却,6.4,54.2,0.15,4.4,40.1
2025/1/6 9:43,KMC2025010601A200,洗浄,冷却,5.7,52.5,0.15,3.7,40.3
2025/1/6 9:44,KMC2025010601A200,洗浄,冷却,6.2,50.9,0.15,4.2,40.2
2025/1/6 9:45,KMC2025010601A200,洗浄,冷却,6.5,49.4,0.15,4.5,40.7
2025/1/6 9:46,KMC2025010601A200,洗浄,冷却,8.2,47.8,0.15,6.2,40.9
2025/1/6 9:47,KMC2025010601A200,洗浄,冷却,7.5,46.4,0.15,5.5,40.2
2025/1/6 9:48,KMC2025010601A200,洗浄,冷却,6.2,45.1,0.15,4.2,40
2025/1/6 9:49,KMC2025010601A200,洗浄,冷却,6.6,43.9,0.15,4.6,39.1
2025/1/6 9:50,KMC2025010601A200,洗浄,冷却,8,42.6,0.15,6,40.2
2025/1/6 9:51,KMC2025010601A200,洗浄,冷却,5.6,41.7,0.15,3.6,39.8
2025/1/6 9:52,KMC2025010601A200,洗浄,冷却,8.6,40.7,0.15,6.6,39.8
2025/1/6 9:53,KMC2025010601A200,洗浄,冷却,7.7,39.6,0.15,5.7,39.1
2025/1/6 9:54,KMC2025010601A200,洗浄,冷却,8.4,38.9,0.15,6.4,39.3
2025/1/6 9:55,KMC2025010601A200,洗浄,冷却,6.1,38.1,0.15,4.1,39.6
2025/1/6 9:56,KMC2025010601A200,洗浄,冷却,5.6,37.5,0.15,3.6,39.8
2025/1/6 9:57,KMC2025010601A200,洗浄,冷却,7.8,36.7,0.15,5.8,40.7
2025/1/6 9:58,KMC2025010601A200,洗浄,冷却,7.4,36.2,0.15,5.4,40
2025/1/6 9:59,KMC2025010601A200,洗浄,冷却,8.8,35.6,0.15,6.8,39.1
2025/1/6 10:00,KMC2025010601A200,洗浄,冷却,6.2,34.8,0.15,4.2,40.8
2025/1/6 10:01,KMC2025010601A200,洗浄,冷却,6.2,34.3,0.15,4.2,39.5
2025/2/3 6:00,KMC2025020301A200,材料仕込み,仕込み開始,6.8,33.8,0.008,7,44.7
2025/2/3 6:01,KMC2025020301A200,材料仕込み,水投入,7.6,33.3,0.001,7.2,45.4
2025/2/3 6:02,KMC2025020301A200,材料仕込み,水投入,7,7.9,0,7.1,44.4
2025/2/3 6:03,KMC2025020301A200,材料仕込み,冷凍肉投入,7.6,7.4,0,7.5,44.1
2025/2/3 6:04,KMC2025020301A200,材料仕込み,冷凍肉投入,6.5,7.2,0,6.9,45.2
2025/2/3 6:05,KMC2025020301A200,材料仕込み,冷凍肉投入,6.7,7.1,0,7,45.2
2025/2/3 6:06,KMC2025020301A200,材料仕込み,冷凍野菜投入,7.1,7.1,0,7.2,44.8
2025/2/3 6:07,KMC2025020301A200,材料仕込み,冷凍野菜投入,5.9,7.1,0,6.1,45
2025/2/3 6:08,KMC2025020301A200,材料仕込み,冷凍野菜投入,6.3,7.1,0,6.6,45.5
2025/2/3 6:09,KMC2025020301A200,材料仕込み,香辛料投入,6.3,7.1,0,6.7,44
2025/2/3 6:10,KMC2025020301A200,材料仕込み,香辛料投入,6.1,7.1,0,6.1,44.7
2025/2/3 6:11,KMC2025020301A200,材料仕込み,小麦粉投入,8.3,7.4,0,8.1,44.4
2025/2/3 6:12,KMC2025020301A200,材料仕込み,小麦粉投入,7.4,7.6,0,7.5,45.4
2025/2/3 6:13,KMC2025020301A200,材料仕込み,調味料投入,8.3,7.6,0,8.4,45.7
2025/2/3 6:14,KMC2025020301A200,材料仕込み,調味料投入,6.4,7.3,0,6,46
2025/2/3 6:15,KMC2025020301A200,材料仕込み,撹拌,6.6,7.5,0,6.7,44.6
2025/2/3 6:16,KMC2025020301A200,材料仕込み,撹拌,8.3,7.7,0,8.1,44.2
2025/2/3 6:17,KMC2025020301A200,材料仕込み,撹拌,5.2,7.9,0,5.3,44.2
2025/2/3 6:18,KMC2025020301A200,材料仕込み,撹拌,8.3,8,0,8.3,44.4
2025/2/3 6:19,KMC2025020301A200,材料仕込み,撹拌,7.1,7.5,0,6.9,45.4
2025/2/3 6:20,KMC2025020301A200,材料仕込み,デッドタイム,7.1,7.4,0,6.9,45.4
2025/2/3 6:21,KMC2025020301A200,材料仕込み,デッドタイム,7.1,7.1,0,6.9,45.4
2025/2/3 6:22,KMC2025020301A200,昇温,,14.2,7.1,0,7,45.1
2025/2/3 6:23,KMC2025020301A200,昇温,,16.3,7.1,0.073,7.2,44.4
2025/2/3 6:24,KMC2025020301A200,昇温,,18.4,7.2,0.132,7.2,45.3
2025/2/3 6:25,KMC2025020301A200,昇温,,20.5,9.9,0.18,7.3,44.7
2025/2/3 6:26,KMC2025020301A200,昇温,,40.8,12.9,0.22,7.3,45.7
2025/2/3 6:27,KMC2025020301A200,昇温,,56.9,15.6,0.253,7.3,44.5
2025/2/3 6:28,KMC2025020301A200,昇温,,69.9,18,0.28,6.6,44.6
2025/2/3 6:29,KMC2025020301A200,昇温,,80.2,20.6,0.301,7.1,45.6
2025/2/3 6:30,KMC2025020301A200,昇温,,88.5,23,0.319,7.1,44.5
2025/2/3 6:31,KMC2025020301A200,昇温,,95.1,25.7,0.334,7.1,44.2
2025/2/3 6:32,KMC2025020301A200,昇温,,100.4,28.3,0.346,6.9,44.7
2025/2/3 6:33,KMC2025020301A200,昇温,,104.7,31,0.356,7.2,45.3
2025/2/3 6:34,KMC2025020301A200,昇温,,108.1,34,0.364,7.7,45.5
2025/2/3 6:35,KMC2025020301A200,昇温,,110.8,36.7,0.37,7.7,44.3
2025/2/3 6:36,KMC2025020301A200,昇温,,113,39.8,0.376,7.7,45.6
2025/2/3 6:37,KMC2025020301A200,昇温,,114.8,42.1,0.38,7.4,45.2
2025/2/3 6:38,KMC2025020301A200,昇温,,116.1,45,0.38,7,45.1
2025/2/3 6:39,KMC2025020301A200,昇温,,117.2,47.2,0.38,6,45
